Category,Pool ID,Base Asset,Pair Asset,Liquidity,Fees Collected,Capped Fees,Fee share,External $ Per Day,Adjusted Revenue,Adjusted Revenue Share,Match Capped Share,Fee APR,Current Share,Current Osmo APR,External APR,Is Matched,Target Share,Imbalance,Maturity,Adjusted Share,New Osmo APR,Current Total APR,New Total APR,Effective APR Change
OSMO_MINOR,463,OSMO,NGM,560600,62.09620325546868,62.09620325546868,0.013901239609764669,0,62.09620325546868,0.013901239609764669,0.013901239609764669,0.04043010022876573,0.0020618017937675606,0.2286847002400738,0.0,False,0.0013817832172106082,0.6701823722277666,4,0.001582625245323365,0.17553684399401034,0.26911480046883957,0.21596694422277607,-0.19749139086171297
OSMO_MINOR,5,OSMO,DVPN,548786,36.21689637157049,36.21689637157049,0.008107738122280115,0,36.21689637157049,0.008107738122280115,0.008107738122280115,0.02408801823593027,0.0017185114951050007,0.1947119956575964,0.0,False,0.0008059091693546433,0.4689576832335372,4,0.0013191179116988337,0.14945962353243822,0.21880001389352666,0.17354764176836848,-0.2068207004190551
OSMO_MINOR,577,OSMO,XKI,547869,29.77394039510451,29.77394039510451,0.006665378201246922,0,29.77394039510451,0.006665378201246922,0.006665378201246922,0.019835924726920386,0.0016850314659773754,0.1912381694190789,0.0,True,0.0006625385932039441,0.3931906356535896,4,0.001293418865616078,0.14679313778217687,0.21107409414599929,0.16662906250909726,-0.21056601861410595
OSMO_MINOR,586,OSMO,MED,536239,33.66425337062569,33.66425337062569,0.007536287693204206,0,33.66425337062569,0.007536287693204206,0.007536287693204206,0.022914134332412184,0.0005432304726105112,0.06298962421483721,0.0,False,0.000749106996704498,1.3789855953857684,4,0.0006949667863169815,0.08058402265530917,0.0859037585472494,0.10349815698772136,0.20481523437411142
OSMO_MINOR,629,OSMO,ROWAN,486178,113.82185474711814,113.82185474711814,0.025480863445997766,0,113.82185474711814,0.025480863445997766,0.025480863445997766,0.08545219442816854,0.0019179116685831517,0.24528816192360545,0.0,False,0.002532797826532178,1.3206019171901022,4,0.002453626915202036,0.3138025832653723,0.330740356351774,0.39925477769354084,0.20715470617953624
OSMO_MINOR,627,OSMO,SOMM,440149,37.7104361716718,37.7104361716718,0.008442091167063088,0,37.7104361716718,0.008442091167063088,0.008442091167063088,0.031271931102104536,0.00043101037497902625,0.06088794196245541,0.0,False,0.0008391438620060709,1.9469226513327091,4,0.0005514011276447953,0.07789529395830094,0.09215987306455994,0.10916722506040548,0.18454183399245272
OSMO_MINOR,648,OSMO,PSTAKE,437326,14.1356200112564,14.1356200112564,0.003164487207062116,0,14.1356200112564,0.003164487207062116,0.003164487207062116,0.011797838006678281,0.0010103108789704647,0.1436458295630387,0.0,True,0.0003145500283819743,0.31133984096311984,4,0.0007755078628395814,0.11026157651966403,0.15544366756971698,0.12205941452634231,-0.21476753325060172
OSMO_MINOR,608,OSMO,LUM,435508,37.60616892664085,37.60616892664085,0.008418749257564013,0,37.60616892664085,0.008418749257564013,0.008418749257564013,0.0315177945255286,0.0007972306935907034,0.1138232976855384,0.0,False,0.0008368236762018629,1.0496631438421342,4,0.0008564536641978035,0.12227875965837437,0.145341092211067,0.15379655418390298,0.058176678351617106
OSMO_MINOR,571,OSMO,BCNA,340367,7.535411644448743,7.535411644448743,0.0016869237946277743,0,7.535411644448743,0.0016869237946277743,0.0016869237946277743,0.00808076355881678,6.62000575940501e-05,0.012093561309030512,0.0,False,0.00016768022518600078,2.5329317115438803,4,8.469120124842917e-05,0.015471561081018964,0.020174324867847294,0.023552324639835746,0.16744053613274157
OSMO_MINOR,605,OSMO,HUAHUA,318506,17.230039089328827,17.230039089328827,0.003857222975146673,0,17.230039089328827,0.003857222975146673,0.003857222975146673,0.019745198732849686,0.00039084034003109583,0.07630009077314316,0.0,False,0.00038340796372957937,0.98098359984815,4,0.0003924018461203354,0.07660492894911629,0.09604528950599285,0.09635012768196598,0.0031739003291162415
